Player,season,Pos,Age,G,MP,PER,TS%,USG%,BPM,VORP,WS,OWS,DWS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,PER_next
A.J. Green,2023,SG,23.0,35.0,345.0,11.5,0.607,16.6,-0.9,0.1,0.8,0.5,0.3,4.4,1.3,0.6,0.2,0.0,0.3,0.424,0.419,1.0,10.5
A.J. Green,2024,SG,24.0,56.0,614.0,10.5,0.617,15.2,-2.1,0.0,1.1,0.7,0.3,4.5,1.1,0.5,0.2,0.1,0.2,0.423,0.408,0.895,9.2
A.J. Lawson,2024,SG,23.0,42.0,311.0,11.2,0.519,20.0,-4.6,-0.2,0.2,0.0,0.3,3.2,1.2,0.5,0.2,0.1,0.3,0.446,0.26,0.652,12.7
AJ Griffin,2023,SF,19.0,72.0,1401.0,12.6,0.577,17.9,-0.8,0.4,2.2,1.3,0.9,8.9,2.1,1.0,0.6,0.2,0.6,0.465,0.39,0.894,1.2
Aaron Brooks,2015,PG,30.0,82.0,1885.0,14.4,0.534,25.0,-0.8,0.5,3.3,1.7,1.5,11.6,2.0,3.2,0.7,0.2,1.9,0.421,0.387,0.833,11.8
Aaron Brooks,2016,PG,31.0,69.0,1108.0,11.8,0.494,22.9,-2.6,-0.2,0.9,0.2,0.7,7.1,1.5,2.6,0.4,0.1,1.2,0.401,0.357,0.766,9.5
Aaron Brooks,2017,PG,32.0,65.0,894.0,9.5,0.507,19.2,-3.7,-0.4,0.3,-0.2,0.5,5.0,1.1,1.9,0.4,0.1,1.0,0.403,0.375,0.8,9.8
Aaron Gordon,2015,PF,19.0,47.0,797.0,11.4,0.517,15.5,-2.7,-0.2,1.0,0.3,0.7,5.2,3.6,0.7,0.4,0.5,0.8,0.447,0.271,0.721,17.0
Aaron Gordon,2016,PF,20.0,78.0,1863.0,17.0,0.541,17.3,1.0,1.4,5.4,3.2,2.2,9.2,6.5,1.6,0.8,0.7,0.8,0.473,0.296,0.668,14.5
Aaron Gordon,2017,SF,21.0,80.0,2298.0,14.5,0.53,20.1,-1.0,0.6,3.7,2.0,1.7,12.7,5.1,1.9,0.8,0.5,1.1,0.454,0.288,0.719,16.5
Aaron Gordon,2018,PF,22.0,58.0,1909.0,16.5,0.53,24.7,0.3,1.1,2.9,0.9,2.0,17.6,7.9,2.3,1.0,0.8,1.8,0.434,0.336,0.698,15.1
Aaron Gordon,2019,PF,24.0,62.0,2017.0,15.1,0.516,20.7,0.0,1.0,3.7,1.4,2.3,16.0,7.4,3.7,0.7,0.7,2.1,0.449,0.349,0.731,15.1
Aaron Gordon,2020,PF,24.0,62.0,2017.0,15.1,0.516,20.7,0.0,1.0,3.7,1.4,2.3,14.4,7.7,3.7,0.8,0.6,1.6,0.437,0.308,0.674,14.5
Aaron Gordon,2021,PF,25.0,50.0,1384.0,14.5,0.547,20.7,0.1,0.7,1.9,0.7,1.2,12.4,5.7,3.2,0.7,0.7,1.9,0.463,0.335,0.651,15.3
Aaron Gordon,2022,PF,26.0,75.0,2376.0,15.3,0.602,19.7,-0.6,0.9,5.2,3.2,2.0,15.0,5.9,2.5,0.6,0.6,1.8,0.52,0.335,0.743,19.5
Aaron Gordon,2023,PF,27.0,68.0,2055.0,19.5,0.617,21.1,2.1,2.1,6.8,4.6,2.2,16.3,6.6,3.0,0.8,0.8,1.4,0.564,0.347,0.608,16.8
Aaron Gordon,2024,PF,28.0,73.0,2297.0,16.8,0.607,17.8,1.3,1.9,7.1,4.5,2.6,13.9,6.5,3.5,0.8,0.6,1.4,0.556,0.29,0.658,17.0
Aaron Holiday,2019,PG,23.0,66.0,1617.0,11.6,0.521,18.7,-1.6,0.2,2.1,0.4,1.7,5.9,1.3,1.7,0.4,0.3,0.8,0.401,0.339,0.82,11.6
Aaron Holiday,2020,PG,23.0,66.0,1617.0,11.6,0.521,18.7,-1.6,0.2,2.1,0.4,1.7,9.5,2.4,3.4,0.8,0.2,1.3,0.414,0.394,0.851,9.2
Aaron Holiday,2021,PG,24.0,66.0,1176.0,9.2,0.503,19.5,-4.2,-0.7,0.2,-0.6,0.8,7.2,1.3,1.9,0.7,0.2,1.0,0.39,0.368,0.819,12.6
Aaron Holiday,2022,PG,25.0,63.0,1021.0,12.6,0.544,18.7,-1.7,0.1,1.5,0.5,0.9,6.3,1.9,2.4,0.7,0.1,1.1,0.447,0.379,0.868,9.4
Aaron Holiday,2023,PG,26.0,63.0,845.0,9.4,0.528,13.4,-2.0,0.0,0.9,0.3,0.6,3.9,1.2,1.4,0.6,0.2,0.6,0.418,0.409,0.844,11.5
Aaron Holiday,2024,PG,27.0,78.0,1269.0,11.5,0.578,16.7,-1.5,0.2,2.5,1.3,1.2,6.6,1.6,1.8,0.5,0.1,0.7,0.446,0.387,0.921,12.2
Aaron Nesmith,2021,SF,21.0,46.0,669.0,9.4,0.573,13.7,-3.2,-0.2,1.1,0.5,0.6,4.7,2.8,0.5,0.3,0.2,0.5,0.438,0.37,0.786,7.3
Aaron Nesmith,2022,SF,22.0,52.0,574.0,7.3,0.507,17.2,-4.3,-0.3,0.4,-0.4,0.9,3.8,1.7,0.4,0.4,0.1,0.6,0.396,0.27,0.808,10.5
Aaron Nesmith,2023,SF,23.0,73.0,1816.0,10.5,0.566,16.8,-3.0,-0.4,2.0,0.9,1.1,10.1,3.8,1.3,0.8,0.5,1.0,0.427,0.366,0.838,12.8
Aaron Nesmith,2024,SF,24.0,72.0,1995.0,12.8,0.631,16.0,-0.5,0.8,4.1,2.8,1.3,12.2,3.8,1.5,0.9,0.7,0.9,0.496,0.419,0.781,14.6
Aaron Wiggins,2022,SG,23.0,50.0,1209.0,10.3,0.556,15.3,-4.3,-0.7,1.2,0.5,0.8,8.3,3.6,1.4,0.6,0.2,1.1,0.463,0.304,0.729,12.2
Aaron Wiggins,2023,SG,24.0,70.0,1297.0,12.2,0.607,14.5,-2.1,0.0,2.6,1.4,1.2,6.8,3.0,1.1,0.6,0.2,0.8,0.512,0.393,0.831,15.6
Aaron Wiggins,2024,SG,25.0,78.0,1228.0,15.6,0.664,16.4,0.7,0.8,3.7,2.1,1.6,6.9,2.4,1.1,0.7,0.2,0.7,0.562,0.492,0.789,16.1
Abdel Nader,2018,SF,24.0,48.0,522.0,5.1,0.439,17.1,-5.3,-0.4,-0.1,-0.9,0.8,3.0,1.5,0.5,0.3,0.2,0.7,0.336,0.354,0.59,11.3
Abdel Nader,2019,SF,26.0,55.0,867.0,11.3,0.591,17.0,-1.0,0.2,1.3,0.5,0.9,4.0,1.9,0.3,0.3,0.2,0.4,0.423,0.32,0.75,11.3
