Player,season,PER,TS%,USG%,BPM,VORP,WS,OWS,DWS,PTS,TRB,AST,STL,BLK,TOV,Age,G,MP,PER_next
A.J. Green,2023,11.5,0.607,16.6,-0.9,0.1,0.8,0.5,0.3,4.4,1.3,0.6,0.2,0.0,0.3,23.0,35.0,345.0,10.5
A.J. Green,2024,10.5,0.617,15.2,-2.1,0.0,1.1,0.7,0.3,4.5,1.1,0.5,0.2,0.1,0.2,24.0,56.0,614.0,9.2
A.J. Lawson,2024,11.2,0.519,20.0,-4.6,-0.2,0.2,0.0,0.3,3.2,1.2,0.5,0.2,0.1,0.3,23.0,42.0,311.0,12.7
AJ Griffin,2023,12.6,0.577,17.9,-0.8,0.4,2.2,1.3,0.9,8.9,2.1,1.0,0.6,0.2,0.6,19.0,72.0,1401.0,1.2
Aaron Brooks,2015,14.4,0.534,25.0,-0.8,0.5,3.3,1.7,1.5,11.6,2.0,3.2,0.7,0.2,1.9,30.0,82.0,1885.0,11.8
Aaron Brooks,2016,11.8,0.494,22.9,-2.6,-0.2,0.9,0.2,0.7,7.1,1.5,2.6,0.4,0.1,1.2,31.0,69.0,1108.0,9.5
Aaron Brooks,2017,9.5,0.507,19.2,-3.7,-0.4,0.3,-0.2,0.5,5.0,1.1,1.9,0.4,0.1,1.0,32.0,65.0,894.0,9.8
Aaron Gordon,2015,11.4,0.517,15.5,-2.7,-0.2,1.0,0.3,0.7,5.2,3.6,0.7,0.4,0.5,0.8,19.0,47.0,797.0,17.0
Aaron Gordon,2016,17.0,0.541,17.3,1.0,1.4,5.4,3.2,2.2,9.2,6.5,1.6,0.8,0.7,0.8,20.0,78.0,1863.0,14.5
Aaron Gordon,2017,14.5,0.53,20.1,-1.0,0.6,3.7,2.0,1.7,12.7,5.1,1.9,0.8,0.5,1.1,21.0,80.0,2298.0,16.5
Aaron Gordon,2018,16.5,0.53,24.7,0.3,1.1,2.9,0.9,2.0,17.6,7.9,2.3,1.0,0.8,1.8,22.0,58.0,1909.0,15.1
Aaron Gordon,2019,15.1,0.516,20.7,0.0,1.0,3.7,1.4,2.3,16.0,7.4,3.7,0.7,0.7,2.1,24.0,62.0,2017.0,15.1
Aaron Gordon,2020,15.1,0.516,20.7,0.0,1.0,3.7,1.4,2.3,14.4,7.7,3.7,0.8,0.6,1.6,24.0,62.0,2017.0,14.5
Aaron Gordon,2021,14.5,0.547,20.7,0.1,0.7,1.9,0.7,1.2,12.4,5.7,3.2,0.7,0.7,1.9,25.0,50.0,1384.0,15.3
Aaron Gordon,2022,15.3,0.602,19.7,-0.6,0.9,5.2,3.2,2.0,15.0,5.9,2.5,0.6,0.6,1.8,26.0,75.0,2376.0,19.5
Aaron Gordon,2023,19.5,0.617,21.1,2.1,2.1,6.8,4.6,2.2,16.3,6.6,3.0,0.8,0.8,1.4,27.0,68.0,2055.0,16.8
Aaron Gordon,2024,16.8,0.607,17.8,1.3,1.9,7.1,4.5,2.6,13.9,6.5,3.5,0.8,0.6,1.4,28.0,73.0,2297.0,17.0
Aaron Holiday,2019,11.6,0.521,18.7,-1.6,0.2,2.1,0.4,1.7,5.9,1.3,1.7,0.4,0.3,0.8,23.0,66.0,1617.0,11.6
Aaron Holiday,2020,11.6,0.521,18.7,-1.6,0.2,2.1,0.4,1.7,9.5,2.4,3.4,0.8,0.2,1.3,23.0,66.0,1617.0,9.2
Aaron Holiday,2021,9.2,0.503,19.5,-4.2,-0.7,0.2,-0.6,0.8,7.2,1.3,1.9,0.7,0.2,1.0,24.0,66.0,1176.0,12.6
Aaron Holiday,2022,12.6,0.544,18.7,-1.7,0.1,1.5,0.5,0.9,6.3,1.9,2.4,0.7,0.1,1.1,25.0,63.0,1021.0,9.4
Aaron Holiday,2023,9.4,0.528,13.4,-2.0,0.0,0.9,0.3,0.6,3.9,1.2,1.4,0.6,0.2,0.6,26.0,63.0,845.0,11.5
Aaron Holiday,2024,11.5,0.578,16.7,-1.5,0.2,2.5,1.3,1.2,6.6,1.6,1.8,0.5,0.1,0.7,27.0,78.0,1269.0,12.2
